language,code,family,true_value,true_upper_limit,sim_upper_limit,lower_limit,mean
Old_English_ca_450_1100_,olde1238,Indo-European,1.45656,1.45656,0.99013,0.18478,0.39169537
Old_Irish,oldi1245,Indo-European,1.25163,1.25163,0.87678,0,0.28259763
Old_Norse,oldn1244,Indo-European,1.5,1.5,0.92995,0.07943,0.38356428
Old_Prussian,prus1238,Indo-European,0,0,0,0,0
Old_Rapa_(Rapa),rapa1245,Austronesian,0,0,0,0,0
Old_Russian,oldr1238,Indo-European,1,1,0.72167,0.04718,0.24780001000000001
Old_Welsh,oldw1239,Indo-European,0.72193,0.72193,0.72193,0.03227,0.1131723
Omahä,omah1247,Other,0,0,0,0,0
Oneida,onei1249,Other,0,0,0,0,0
Onobasulu,onob1238,Other,0.36064,0.53421,0.53421,0.05138,0.20532454
Onondaga,onon1246,Other,0,0,0,0,0
Opata,opat1246,Uto-Aztecan,0.91829,0.91829,0.60846,0.25038,0.38610863
Oriya,oriy1255,Indo-European,2.34964,2.34964,1.53113,0.846,1.13539326
Osage,osag1243,Other,0,0,0,0,0
Ossetian,osse1243,Indo-European,1.91829,1.91829,0.83623,0.11721,0.35034762
Ossetic,osse1245,Indo-European,0,0,0,0,0
Otoe,otoo1241,Other,0,0,0,0,0
Ottowa_Ojibwa,otta1242,Algic,0,0,0,0,0
Owa_(Santa_Ana),owaa1237,Austronesian,0,0,0,0,0
Paakantyi,darl1243,Pama-Nyungan,1,1,0.73346,0.20443,0.38172473
Pacoh,paco1243,Austroasiatic,0,0,0,0,0
Padoe,pado1242,Austronesian,0,0,0,0,0
Pagu,pagu1249,Other,0.98523,0.98523,0.5774,0.03775,0.18119898
Paici,paic1239,Austronesian,1.07396,1.07396,0.42924,0.00582,0.09504408
Paiwan,paiw1248,Austronesian,0,0,0,0,0
Palauan,pala1344,Austronesian,0.99679,0.99679,0.67314,0.00132,0.20166364
Paliyan,pali1274,Dravidian,1,1,0.81896,0.17379,0.3685474
Paluai,balu1257,Austronesian,0.93211,0.93211,0.58843,0.02488,0.21133758
Pama_(Paamanese),paam1238,Austronesian,0,0,0,0,0
Pampanga_(Kampampangan),pamp1243,Austronesian,0.88654,0.88654,0.37527,0.02281,0.10614212
Panare,enap1235,Cariban,1.02206,1.02206,0.67868,0.07046,0.27090059
Pangasinan,pang1290,Austronesian,0.62925,0.62925,0.27474,0.02757,0.05500011
Panjabi,panj1256,Indo-European,2.08496,2.08496,1.39962,0.66043,0.96746049
Paraguayan_Guaraní,para1311,Tupian,1.02717,1.02717,0.99816,0.34695,0.62646788
Parakanã,para1312,Tupian,1,1.5,1.5,0,0.84931384
Pashto,pash1269,Indo-European,1.4183,1.4183,0.98611,0.2621,0.53060704
Patani,pata1260,Austronesian,0.84535,0.84535,0.72513,0.105,0.25919141
Pauserna,paus1244,Tupian,0.67347,1.06878,1.06878,0.25884,0.56364782
Payungu,bayu1240,Pama-Nyungan,1,1,0.54879,0.09314,0.22480167
Pemon,pemo1248,Cariban,0,0,0,0,0
Pendau,pend1242,Austronesian,0.88654,0.88654,0.2724,0.02281,0.10307651
Penrhyn_(Tongareva),penr1237,Austronesian,0,0,0,0,0
Peoria,peor1238,Algic,0,0,0,0,0
Petapa_Taje,taje1237a,Austronesian,0,0,0,0,0
Phende,phen1239,Atlantic-Congo,0.9183,0.9183,0.6484,0.01625,0.13936587
Piegan_Siksika_(Piegan_Blackfoot),pieg1239,Algic,0,0,0,0,0
Pilagá,pila1245,Other,0.31669,0.31669,0.20674,0.05144,0.09664899
Pinji,pinj1243,Atlantic-Congo,0.68524,0.75527,0.75527,0.08479,0.22814993
PintupiLuritja,pint1250,Pama-Nyungan,1,1,0.57832,0.09314,0.22782018
Pirriya,pirr1240,Pama-Nyungan,0,0,0,0,0
Pitjantjatjara,pitj1243,Pama-Nyungan,0.61749,0.93968,0.93968,0.23295,0.41814235
Pitta_Pitta,pitt1247,Pama-Nyungan,0.9183,0.9183,0.60904,0.05709,0.23825558
Plains_Cree_(Cree_of_the_Prairie),plai1258,Algic,0,0,0,0,0
Pohnpeian,pohn1238,Austronesian,0.7642,0.7642,0.7642,0,0.129252515
Pohnpeian,pohn1238a,Austronesian,0.53333,0.7642,0.7642,0,0.129252515
Pokomo,poko1261,Atlantic-Congo,0,0,0,0,0
Polci,polc1243,Afro-Asiatic,0.31669,0.31669,0.25271,0.08857,0.12552224
Polish,poli1260,Indo-European,2.25163,2.25163,1.23228,0.40002,0.80963819
Port_Sandwich,port1285,Austronesian,0.94566,0.94566,0.94566,0.00606,0.3334228
Portuguese,port1283,Indo-European,0,0.18872,0.18872,0,0.02283497
Potawatomi_(Potǎwattamie),pota1247,Algic,0.06291,0.25163,0.25163,0.05459,0.10095657
Prai,phai1238,Austroasiatic,0.72193,0.72193,0.38708,0.07291,0.17993292
Prakaa,prak1243,Sino-Tibetan,0,0,0,0,0
Proto-Oceanic,ocea1241,Austronesian,0,0,0,0,0
Proto_Sogeram,soge1235,Nuclear Trans New Guinea,1.18973,1.18973,0.65648,0.05595,0.25341959000000003
Proto_Tupi_Guarani,tupi1276,Tupian,0,0,0,0,0
Puinave,puin1248,Other,0,0,0,0,0
Pukapuka,puka1242,Austronesian,0,0.16456,0.16456,0,0.0246595
Puluwatese_(Puluwat),pulu1242,Austronesian,0.81388,0.81388,0.43323,0.07208,0.19934075
Pumé,pume1238,Other,0.54085,0.54085,0.41114,0.1941,0.23009685
Punkä,ponc1241,Other,0,0,0,0,0
Punu,punu1239,Atlantic-Congo,1,1,1,0,0.11028192
Puyuma,puyu1239,Austronesian,0,0,0,0,0
Páez,paez1247,Other,0,0,0,0,0
Qawasquar,qawa1238,Other,1,1,0.43358,0.00844,0.14975957
Quechan,quec1382,Other,1.57662,1.57662,1.31682,0.35775,0.63299048
Rade_(Rhade),rade1240,Austronesian,0,0,0,0,0
Raga_(Hano),hano1246,Austronesian,1.43185,1.43185,0.82217,0.16612,0.45948462
Raga_(Hano_Thomas_Ennever),hano1246b,Austronesian,1.10331,1.10331,0.63201,0.10903,0.30038353
Rahambuu,raha1237,Austronesian,0,0,0,0,0
Rakahanga-Manihiki,raka1237,Austronesian,0,0,0,0,0
Rangiora_(NW_Tuamotus),tuam1242,Austronesian,0,0,0,0,0
Rarotongan_(Cook_Islands_Maori),raro1241,Austronesian,0.22282,0.595,0.595,0.00132,0.13154768
Ratagnon,rata1245,Austronesian,0.88654,0.88654,0.27136,0.00218,0.04726908
Rejang_(Rejangese),reja1240,Austronesian,0.99679,0.99679,0.40623,0,0.09340724
Rennell_Islanders,renn1242,Austronesian,0.31682,0.84425,0.84425,0.06058,0.24926145
Ritharrngu,rita1239,Pama-Nyungan,1.5087,1.5087,0.80587,0.11447,0.31920348
Riuk_Bekati'_(Dayak),beka1241,Austronesian,0,0,0,0,0
Romanian,roma1327,Indo-European,0.9183,0.9183,0.56782,0.10917,0.23800665
Rotinese_Termanu_,term1237,Austronesian,1.75591,1.75591,1.72323,0.83226,1.15799321
Rotokas,roto1249,Other,0.93211,0.93211,0.60893,0.06367,0.26267457
Rotumans,rotu1241,Austronesian,0.30875,0.37638,0.37638,0.06991,0.18055438
Routa,rout1237,Austronesian,0,0,0,0,0
Roviana,rovi1238,Austronesian,0.88654,0.88654,0.35526,0.0235,0.10295509
Rundi,rund1242,Atlantic-Congo,1.92193,1.92193,1.16217,0.40168,0.66648567
Russian,russ1263,Indo-European,0.9183,0.9183,0.49122,0.01625,0.147701965
Russian,russ1263a,Indo-European,0.88654,0.9183,0.49122,0.01625,0.147701965
Rutul,shin1265,Nakh-Daghestanian,0.91829,0.91829,0.5187,0.26019,0.30722149
Sa,saaa1241,Austronesian,0,0,0,0,0
Sa_a,saaa1240,Austronesian,1,1,0.58951,0.00972,0.06785204
Saaroa,saar1237,Austronesian,0.88654,0.88654,0.45373,0.1104,0.19126537
Sakata,saka1287,Atlantic-Congo,0.31128,0.31128,0.31128,0,0.05786032
Sake,sake1247,Atlantic-Congo,0,0,0,0,0
Samoan,samo1305,Austronesian,0.16097,0.73978,0.73978,0.00108,0.17318925
Samoan,samo1305a,Austronesian,0.00343,0.73978,0.73978,0.00108,0.17318925
San_Salvador_Kongo,sans1272,Atlantic-Congo,0.97095,0.97095,0.47539,0.04766,0.15425621
Sanapana,sana1298,Other,0.72193,0.72193,0.269,0.03415,0.10791685
Sango,sang1331,Atlantic-Congo,0,0,0,0,0
Sangtam_Naga,sang1321,Sino-Tibetan,0,0,0,0,0
Sangu_Tanzania_,sang1330,Atlantic-Congo,1.00624,1.00624,0.68515,0.11022,0.25336849
Sanskrit,sans1269,Indo-European,2.10393,2.10393,1.26108,0.56964,0.8681642
Sarangani_Blaan,sara1326,Austronesian,0,0,0,0,0
Sardinian,sard1257,Indo-European,0.9183,0.9183,0.57979,0.01625,0.14929912
Satawalese,sata1237,Austronesian,0,0,0,0,0
Saterfriesisch,sate1242,Indo-European,0.9183,0.9183,0.55694,0.01625,0.14638418
Sateré_Mawé,sate1243,Tupian,1,1.32782,1.32782,0.07943,0.57325428
Savosavo,savo1255,Other,0.00119,0.24805,0.24805,0.00119,0.06077127
Sawai,sawa1247,Austronesian,0.91398,0.91398,0.71531,0.19042,0.32551931
Sawi,sawi1257,Other,0,0,0,0,0
Sawk_and_Fox,mesk1242,Algic,0,0,0,0,0
Seke_(Ske),seke1241,Austronesian,7.3e-4,0.28062,0.28062,7.3e-4,0.04524803
Seki,seki1238,Atlantic-Congo,0,0,0,0,0
Selk_nam,onaa1245,Other,0.54085,0.54085,0.37959,0.1941,0.23086183
Selkup,selk1253,Uralic,0,0,0,0,0
Senbarei,unua1237,Austronesian,1.01947,1.01947,0.70705,0.06529,0.28296398
Seneca,sene1264,Other,0,0,0,0,0
Serbocroation,sout1528,Indo-European,1.45915,1.45915,0.67516,0.08275,0.34104247
Serbs,serb1264,Indo-European,0.9183,0.9183,0.51539,0.03667,0.19859679
Seri,seri1257,Other,0.72193,0.72193,0.43272,0.13415,0.17949807
Serrano,serr1255,Uto-Aztecan,1.62993,1.62993,1.55686,0.71863,1.1397186
Setaman_Baktamin,seta1246,Other,0,0,0,0,0
Shasta,shas1239,Other,0.95854,0.95854,0.74911,0.13577,0.37096978
Shawnee,shaw1249,Algic,0,0,0,0,0
Sherpa,sher1255,Sino-Tibetan,0,0,0,0,0
Shi,shii1238,Atlantic-Congo,1.07782,1.07782,1.04203,0.16531,0.49279763
Shipibo,ship1254,Pano-Tacanan,1.18872,1.18872,0.83201,0.2574,0.47757488
Shiyan,chey1247,Algic,0,0,0,0,0
Shoshoni,shos1248,Uto-Aztecan,0,0,0,0,0
Sie_(Sye),siee1239,Austronesian,0.99573,0.99573,0.67786,0.06782,0.27921666
Sika,sika1262,Austronesian,0,0,0,0,0
Sikaiana,sika1261,Austronesian,0,0.11446,0.11446,0,0.011493
Sindhi,sind1272,Indo-European,2.25163,2.25163,1.45029,0.76897,1.0663125
Sinhala,sinh1246,Indo-European,1,1.05839,1.05839,0.22802,0.48959032
Sion,sion1247,Other,0.84535,0.84535,0.4892,0,0.12706543
Sirionó,siri1273,Tupian,1.21839,1.21839,0.67336,0.07045,0.27121552
Siwai_Motuna,siwa1245,Other,0,0,0,0,0
Slave_Lake_Indians_or_A-cha'o-tin-ne,slav1253,Other,0,0,0,0,0
Slovakian,slov1269,Indo-European,0.9183,0.9183,0.58496,0.03077,0.20240464
Slovenian,slov1268,Indo-European,0.9183,0.9183,0.55767,0.01625,0.1480573
Soga,soga1242,Atlantic-Congo,0.9183,0.9183,0.53021,0.18721,0.29254816
Songoora,song1300,Atlantic-Congo,0,0,0,0,0
Sonsorol,sons1242,Austronesian,0.99679,0.99679,0.42754,0,0.11936483
SosvaMansi,nort2677,Uralic,0,0,0,0,0
Sougb,mani1235,Other,0,0,0,0,0
SouthSaami,sout2674,Uralic,0,0,0,0,0
South_Marquesan,sout2866,Austronesian,0,0,0,0,0
South_Tuvaluan_(Vaitupu),sout2865,Austronesian,0.05259,0.32004,0.32004,0.00336,0.06296367
Southeast_Ambrym,sout2859,Austronesian,0.93331,0.93331,0.49462,0.02828,0.2118711
Southeast_Babar,sout2883,Austronesian,0,0,0,0,0
Southeastern_Tepehuano,sout2976,Uto-Aztecan,0.55678,0.55678,0.43764,0.08276,0.233003
Southern_Coastal_Tsimshian,nucl1649,Other,0,0,0,0,0
Southern_Paiute,sout2969,Uto-Aztecan,0.94566,1.1146,1.1146,0.27254,0.51747886
Southern_Tepehuan,sout2975,Uto-Aztecan,0,0,0,0,0
Southern_Ute,utee1244,Uto-Aztecan,0,0,0,0,0
Southwest_Tanna,sout2869,Austronesian,0.99679,0.99679,0.75399,0.00215,0.19077207
Spokäne,spok1245,Salishan,0.5,1,1,0.5,0.71975
Standard_Catalan,stan1289,Indo-European,0.9183,0.9183,0.46701,0.01625,0.14548597
Standard_French,stan1290,Indo-European,0.88654,0.88654,0.57559,0.1157,0.24100918
Standard_Spanish,stan1288,Indo-European,0.9183,0.9183,0.5655,0.10917,0.23655462
Suki,suki1245,Other,0,0,0,0,0
Suku,suku1259,Atlantic-Congo,0.9183,0.9183,0.58896,0.2897,0.38395356
Sukuma,suku1261,Atlantic-Congo,0,0,0,0,0
Sula_Fagudu,sula1245,Austronesian,0.12582,0.25163,0.25163,0,0.10656874
Sula_Mangoli,mang1408,Austronesian,0.72193,1.1087,1.1087,0.24773,0.47284327
Sumbwa,sumb1240,Atlantic-Congo,0,0,0,0,0
Sundanese,sund1252,Austronesian,1.5822,1.5822,0.64494,0.07355,0.28976053
Sungagage,mari1426i,Austronesian,1.10331,1.10331,0.68589,0.10152,0.30381166
Sungwadaga,mari1426b,Austronesian,0.07385,0.3454,0.3454,0.00561,0.0946327
Sungwadia,mari1426a,Austronesian,1.33647,1.33647,1.0348,0.2767,0.54681946
Sungwaloge_(Nalemba_Edward),mari1426g,Austronesian,0.93211,0.93211,0.38861,0.00799,0.09107485
Sungwaloge_(Nalemba_Simeone_Tari),mari1426f,Austronesian,0.93211,0.93211,0.53636,0.0249,0.15042582
Sungwaloge_(Navenvene),mari1426d,Austronesian,0.99679,0.99679,0.61529,0.01314,0.15940611
Sungwaloge_(Tauta),mari1426e,Austronesian,0.97688,0.97688,0.68077,0.05779,0.20743558
Sungwaloge_(Tawet),mari1426c,Austronesian,0.98008,0.98008,0.51068,0.04973,0.19821045
Sunwadia,mari1426,Austronesian,0.97095,0.97095,0.55678,0,0.12063447
Suruí,suru1262,Tupian,0.25163,0.3628,0.3628,0.08837,0.19497285
Suundi,suun1239,Atlantic-Congo,0.17095,0.72193,0.72193,0,0.15145801
Suzhou,shan1293,Sino-Tibetan,0,0,0,0,0
Suzhou,suzh1234,Sino-Tibetan,0,0,0,0,0
Swedish,swed1254,Indo-European,0.91829,0.91829,0.47445,0.26019,0.30753956
Taabwa,shil1264,Atlantic-Congo,0.91829,0.91829,0.91829,0.22125,0.32152408
Tabasco_Chontal_(Chontal_Tabasco),taba1266,Other,0,0,0,0,0
Tabla,tabl1243,Other,0.93211,0.93211,0.52804,0.01865,0.14760829
Tadyawan,tady1237,Austronesian,0.88654,0.88654,0.25158,0.00218,0.05003544
Tagalog,taga1270,Austronesian,0.67896,0.67896,0.27334,0.00151,0.04414128
Tahitians,tahi1242,Austronesian,0,0.17949,0.17949,0,0.0449523
Taiap,taia1239,Other,0,0,0,0,0
Tajik,taji1245,Indo-European,0,0,0,0,0
Tajio,taji1246,Austronesian,0.88654,0.88654,0.3895,0.02281,0.10571618
Takia,taki1248,Austronesian,0.15396,0.3358,0.3358,7.3e-4,0.10134082
Takuu,taku1257,Austronesian,0.06992,0.19753,0.19753,0.00107,0.04427606
Talibabu,tali1262,Austronesian,0,0.25163,0.25163,0,0.06622016
Talise_(Tolo),tali1259,Austronesian,0.00237,0.26025,0.26025,5.7e-4,0.05960392
Tamambo,malo1243,Austronesian,0,0,0,0,0
Tamil,tami1289,Dravidian,2.33496,2.33496,1.85795,1.30458,1.54430312
Tanala,tana1285,Austronesian,0.77095,0.80555,0.80555,0.07757,0.36858984
Tanampedagi_Taje,taje1237b,Austronesian,0.88654,0.88654,0.45373,0.02281,0.1087449
Tangoa_(Movono),tang1347,Austronesian,0,0,0,0,0
Tapirapé,tapi1254,Tupian,0,0,0,0,0
Tarahumara,cent2131,Uto-Aztecan,1.12809,1.23012,1.23012,0.40203,0.78599237
Tasiko,tasi1237,Austronesian,0,0.32861,0.32861,0,0.09960669
Taumako,taum1237,Austronesian,0.46606,0.52413,0.52413,0.02392,0.19667956
Tausug,taus1251a,Austronesian,0.88654,0.88654,0.38441,0.02281,0.1063399
Tausug_(Sulu_Moro),taus1251,Austronesian,0.99679,0.99679,0.37687,5e-4,0.04793972
Tehuelche,tehu1242,Other,0.9183,0.9183,0.27687,0.00998,0.06447339
Teiwa,teiw1235,Other,0.93211,0.93211,0.35554,0.00588,0.09750963
Telefol,tele1256,Other,1.93002,1.93002,1.06391,0.34867,0.63224886
Telugu,telu1262,Dravidian,1.12581,1.12581,0.91293,0.17272,0.41835523
Tembé,temb1276,Tupian,0,0,0,0,0
Temi,temi1247,Atlantic-Congo,0,0,0,0,0
Tenharim,tenh1241,Tupian,1.25163,1.25163,0.66547,0.15228,0.32273067
Tesuque,tesu1245,Other,0,0,0,0,0
Tetela,tete1250,Atlantic-Congo,0.94566,0.94566,0.52336,0.19149,0.30454123
Tetum_(Tetun),tetu1245,Austronesian,0.5374,0.72843,0.72843,0.06191,0.2924868
Tetun_Dili_(Tetum),tetu1246,Austronesian,0,0,0,0,0
Thao,thao1240,Austronesian,0,0,0,0,0
Thayore_(Kuuk_Thaayorre),thay1249,Pama-Nyungan,1.58219,1.58219,1.32132,0.3648,0.79291014
Tialo_(Tomini),tomi1243,Austronesian,0.88654,0.88654,0.37736,0.02281,0.10423247
Tidore,tido1249,Other,0,0,0,0,0
Tidore_(version_1),tido1248,Other,0.25163,0.25163,0.25163,0.12582,0.17916565
Tidore_(version_2),tido1248a,Other,0.18873,0.25163,0.25163,0.06291,0.14349688
Tigak,tiga1245,Austronesian,0,0,0,0,0
Tikopia,tiko1237,Austronesian,0,0.93211,0.60138,0,0.157157355
Tikopia,tiko1237a,Austronesian,0.93211,0.93211,0.60138,0,0.157157355
Tirax_(Mae),maee1241,Austronesian,0,0,0,0,0
Tiri-Mea_(Grand_Couli),tiri1258,Austronesian,0.94566,0.94566,0.48513,4.5e-4,0.15661386
Tiv,tivv1240,Atlantic-Congo,0.4984,0.4984,0.29985,0,0.09182891
Tlingit,tlin1245,Other,0,0,0,0,0
Toba,toba1269,Other,0.9183,0.9183,0.40031,0.10917,0.19339826
Tocantins_Asurini,toca1235,Tupian,1.84644,1.84644,1.14297,0.39257,0.70257577
Toda,toda1252,Dravidian,0.9183,0.9183,0.5128,0.19138,0.30414982
Tohono_O_odham,toho1245,Uto-Aztecan,0,0,0,0,0
Tok_Pisin,tokp1240,Indo-European,0.74249,0.74249,0.34027,9.1e-4,0.06977532
Tokelau,toke1240,Austronesian,1.07732,1.07732,0.70193,0.08208,0.32158237
Tokelau,toke1240a,Austronesian,0.99718,1.07732,0.70193,0.08208,0.32158237
Tokharian_A,tokh1242,Indo-European,0,0,0,0,0
Tokharian_B,tokh1243,Indo-European,0,0,0,0,0
Tokotu'a_(Kabaena),kaba1285,Austronesian,0,0,0,0,0
Tolaki,tola1247,Austronesian,0.88654,0.88654,0.38052,0.01691,0.06583604
Tolowa,tolo1259,Other,0,0,0,0,0
Tomadino,toma1248,Austronesian,0,0,0,0,0
Tombulu,tomb1243,Austronesian,0.88654,0.88654,0.42609,0.1104,0.19206236
Tonga_Nyasa_,tong1321,Atlantic-Congo,0,0.19087,0.19087,0,0.0626268
Tongan,tong1325,Austronesian,0.12581,0.54534,0.54534,0.07835,0.24885347
Tonsea,tons1240,Austronesian,0.88654,0.88654,0.45373,0.1104,0.19318863
Tooro,toor1238,Atlantic-Congo,1.58496,1.58496,0.97161,0.1117,0.44607867
Toqabaqita,toab1237,Austronesian,0.9183,0.9183,0.22527,0.0037200000000000002,0.0305707
Torete,tore1237,Austronesian,0,0,0,0,0
Torres_Strait_Creole_(Broken),torr1261,Indo-European,0.5615,0.5615,0.45938,0.05719,0.20713547
Totoli,toto1304,Austronesian,0.88654,0.88654,0.45373,0.02281,0.10705068
Touo,touo1238,Other,1.93002,1.93002,1.00814,0.19823,0.56020424
Trinitario,trin1274,Arawakan,0,0,0,0,0
Tsafiki,colo1249,Other,0,0,0,0,0
Tsogo,tsog1243,Atlantic-Congo,0,0.25163,0.25163,0,0.06658636999999999
Tsonga,tson1249,Atlantic-Congo,1.90137,1.90137,1.02274,0.41522,0.68054436
Tswana,tswa1253,Atlantic-Congo,2.32193,2.32193,1.36322,0.67065,0.92668888
Tubar,tuba1279,Uto-Aztecan,0,0,0,0,0
Tubuai,tubu1240,Austronesian,0,0,0,0,0
Tucano,tuca1252,Other,2.16829,2.16829,1.70237,0.98906,1.26573954
Tucanoan_Bará,waim1255,Other,1.11459,1.11459,1.05001,0.27391,0.56929533
Tukang_Besi_South,tuka1249,Austronesian,0,0,0,0,0
Tulambatu,tula1253,Austronesian,0,0,0,0,0
TundraNenets,nene1249,Uralic,0,0,0,0,0
Tungag,tung1290,Austronesian,0,0,0,0,0
Tupinambá,tupi1273,Tupian,0.98523,0.98523,0.78204,0.18814,0.39704882
Tupí,tupi1274,Tupian,0.35589,0.80607,0.80607,0.23588,0.4357982
Turkish,nucl1301,Turkic,0.91829,0.91829,0.46139,0.15905,0.24216572
Turung,turu1249,Tai-Kadai,0,0,0,0,0
Tuscarora,tusc1257,Other,0,0,0,0,0
Tuyuca,tuyu1244,Other,0.72193,0.72193,0.43272,0.13415,0.18163441
Two_Mountain_Iroquios,laur1250,Other,0,0,0,0,0
Tzeltal,tzel1254,Other,0.91829,1.00915,1.00915,0.01831,0.36274006
Tübatülabal,tuba1278,Uto-Aztecan,0,0,0,0,0
Tümpisha_Shoshoni,pana1305,Uto-Aztecan,0.88654,0.88654,0.81361000000000006,0.26421,0.39148212
Udmurt,udmu1245,Uralic,0,0,0,0,0
Ukrainian,ukra1253,Indo-European,0.81128,0.81128,0.65795,0,0.24861538
Ulawa,ulaw1237,Austronesian,1,1,0.65391,0.02226,0.13451301
Umbu-Ungu,umbu1258,Other,0.94566,0.94566,0.94058,0.08113,0.32777645
Umbundu,umbu1257,Atlantic-Congo,1,1,0.60846,0.17379,0.30536949
Umiray_Dumaget_Agta,umir1236,Austronesian,0,0,0,0,0
Umpila,umpi1239,Pama-Nyungan,0.94566,0.94566,0.73979,0.08114,0.32628228
Ura,urav1235,Austronesian,0,0,0,0,0
Uradhi_(Atampaya),atam1239,Pama-Nyungan,0,0,0,0,0
Urak_Lawoi,urak1238,Austronesian,0,0,0,0,0
Urdu,urdu1245,Indo-European,2.25163,2.25163,1.59271,0.76897,1.06844159
Uripiv-Wala-Rano-Atchin,urip1239,Austronesian,1.096,1.096,0.70932,0.09066,0.29356232
Usurufa,usar1243,Other,0.98523,0.98523,0.98523,0.23777,0.34364361
Utahs_(Tabegwaches),utes1238,Uto-Aztecan,0,0,0,0,0
Vaekau-Taumako,pile1238,Austronesian,0.05259,0.40135,0.40135,0.03043,0.12630665
Vao,vaoo1237,Austronesian,0,0,0,0,0
Varisi,vari1239,Austronesian,0,0,0,0,0
Venda,vend1245,Atlantic-Congo,0.9183,0.9183,0.47704,0.10917,0.19596224
Veps,veps1250,Uralic,0,0,0,0,0
Vera'a,vera1241,Austronesian,0,0,0,0,0
Vlax_Romani,vlax1238,Indo-European,0.9183,0.9183,0.51614,0.01625,0.14477951
Vures,vure1239,Austronesian,0,0,0,0,0
Waffa,waff1241,Other,0,0,0,0,0
Wai_Wai,waiw1244,Cariban,0.23751,0.31229,0.31229,0.01623,0.06584523
Waia,waia1242,Austronesian,0,0,0,0,0
Wailaki,wail1244,Other,0.21922,0.81058,0.81058,0.11225,0.43437714
Waimiri_Atroari,waim1253,Cariban,0,0,0,0,0
Wajarri,waja1257,Pama-Nyungan,0.72193,0.72193,0.72193,0.03227,0.18533079
Wakaya,waga1260,Pama-Nyungan,1.26346,1.26346,1.03058,0.15103,0.39203708
Wallisian_(East_Uvea),wall1257,Austronesian,0,0,0,0,0
Wallon,wall1255,Indo-European,0.91829,0.91829,0.66956,0.03493,0.19458896
Wambaya,wamb1258,Other,1.0798,1.0798,0.87011,0.08259,0.36294267
Wangkajunga,wang1288,Pama-Nyungan,0.5615,0.5615,0.31181,0.06706,0.14386162
Wangkangurru,wang1290,Pama-Nyungan,0.65564,0.76784,0.76784,0,0.14709273
Wangkangurru,wang1290a,Pama-Nyungan,0,0.76784,0.76784,0,0.14709273
Wangkumara,wong1246,Pama-Nyungan,0,0,0,0,0
Waorani,waor1240,Other,0.84535,0.84535,0.53935,0.20718,0.2526012
Wapishana,wapi1253,Arawakan,0.91829,0.91829,0.43491,0.15905,0.23630032
Wappo,wapp1239,Other,0,0,0,0,0
Warlmanpa,warl1255,Pama-Nyungan,1,1,0.62572,0.09314,0.22550356
Warlpiri,warl1254,Pama-Nyungan,1.34707,1.34707,0.7369,0.04327,0.292277865
Warlpiri,warl1254a,Pama-Nyungan,0.93211,1.34707,0.7369,0.04327,0.292277865
Warnman,wanm1242,Pama-Nyungan,0.5,0.54122,0.54122,0.02093,0.13501534
Waropen,waro1242,Austronesian,0,0,0,0,0
Warrnambool,warr1257,Pama-Nyungan,0,0,0,0,0
Warta_Thuntai,gunt1241,Other,0,0,0,0,0
Waru,waru1266,Austronesian,0,0,0,0,0
Warumungu,waru1265,Pama-Nyungan,1,1,0.60846,0.17379,0.30620869
Warungu,waru1264,Pama-Nyungan,0,0,0,0,0
Watam,wata1253,Other,0,0,0,0,0
Wathwurrung,wath1238,Pama-Nyungan,0,0,0,0,0
Watut,watu1246,Austronesian,0.58428,0.58428,0.49299,0.08128,0.24576482
Waurá,waur1244,Arawakan,0.25163,0.41696,0.41696,0.08334,0.19593436
Wawonii,wawo1239,Austronesian,0.88654,0.88654,0.30712,0.02281,0.106739
Wayampi,waya1270,Tupian,0.74932,0.74932,0.74932,0.0178,0.33996559
Wayuu,wayu1243,Arawakan,0.10917,0.24715,0.24715,0.04167,0.0984097
Weaw,nucl1653,Algic,0,0.25163,0.25163,0,0.07033621
Weda,weda1240,Austronesian,0.5172,0.5172,0.41189,0.0436,0.18495936
Wersing,wers1238,Other,0,0,0,0,0
West_Coast_Bajau,west2560,Austronesian,0.88654,0.88654,0.41334,0.02281,0.10550288000000001
West_Futuna,west2515,Austronesian,0.95918,0.95918,0.5657,0.09812,0.2721641
West_Kewa,west2599,Nuclear Trans New Guinea,0.99679,0.99679,0.59755,0.12131,0.23131647
Western_Apache,west2615,Other,1.18872,1.18872,0.75371,0.0513,0.27261161
Western_Armenian,homs1234,Indo-European,0.91829,0.91829,0.5187,0.26019,0.30725606
Western_Bukidnon_Manobo,west2555,Austronesian,0.00313,0.45069,0.45069,0.00313,0.0948435
"Western_Canadian_Inuktitut_(Eskimo,_West_of_Hudson's_Bay)",west2618,Other,0,0,0,0,0
Western_Farsi,west2369,Indo-European,2.22987,2.22987,1.41985,0.65786,0.96575206
Western_Panjabi,west2386,Indo-European,0.91829,0.91829,0.48379,0.26019,0.30933044
Western_Pantar,lamm1241,Other,0.93211,0.93211,0.59782,0.10856,0.3072562
Western_Tawbuid_(Batangan),west2559,Austronesian,0.88654,0.88654,0.3763,0.00218,0.04986042
White_Mesa_Ute,utee1244b,Uto-Aztecan,0,0,0,0,0
Whitesands,whit1269,Austronesian,0.44477,0.72591,0.72591,0.00199,0.17102629
Wichí,wich1264,Other,0,0,0,0,0
WikMungkan,wikm1247,Pama-Nyungan,1.72193,1.72193,1.72193,1.02193,1.27849048
