simulation_number,mutual_information,entropy,conditional_entropy,meZ,feZ,mB,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZeD,fMZyD,meB,myZ,feB,fyZ,mMZS,mMeZS,mMyZS,mMZeS,mMZyS,fMZS,fMeZS,fMyZS,fMZyS,myB,fyB,mF,mM,mFB,mFZ,mFyB,mFeB,mFeZ,mFyZ,fF,fM,fFB,fFZ,fFyB,fFeB,fFeZ,fFyZ,mMB,mMZ,mMeZ,mMyZ,mMeB,mMyB,fMB,fMZ,fMeZ,fMyZ,fMeB,fMyB
691,0.483012264304276,1.8461121633570161,1.36309989905274,mameri bahan,phuphera bhai,mɔseri bahan,mɔseri bahan,dīdī,phupheri bahan,choṭī bhan,phuphera bhai,mamera bhai,baṛa bhai,phupheri bahan,phupheri bahan,caceri bahan,cacera bhai,mameri bahan,caceri bahan,mameri bahan,cacera bhai,phupheri bahan,mamera bhai,mɔsera bhai,mamera bhai,mamera bhai,mamera bhai,phupheri bahan,choṭā bhāī,cacera bhai,phuphera bhai,mɔsera bhai,phupheri bahan,mameri bahan,caceri bahan,cacera bhai,mɔseri bahan,mamera bhai,mamera bhai,phuphera bhai,phupheri bahan,phuphera bhai,phuphera bhai,mamera bhai,mameri bahan,mameri bahan,caceri bahan,bahan,bhāī,mameri bahan,mameri bahan,phupheri bahan,phuphera bhai,phuphera bhai,mamera bhai,caceri bahan,cacera bhai,mamera bhai,caceri bahan,cacera bhai,bhāī,caceri bahan,phupheri bahan,mɔsera bhai,phuphera bhai,mameri bahan,mɔsera bhai,baṛa bhai,dīdī,mɔsera bhai,caceri bahan,mɔseri bahan,choṭī bhan,bahan,mɔseri bahan,cacera bhai,mɔseri bahan,phuphera bhai,mɔseri bahan,mɔseri bahan,mɔsera bhai,mɔseri bahan,choṭā bhāī,cacera bhai,caceri bahan,mɔsera bhai,mameri bahan,mɔseri bahan,phupheri bahan,cacera bhai,mɔsera bhai,mɔsera bhai,cacera bhai,tāū,buā,māmā,tāū,bāp,mausī,māmā,māmā,mausī,māmā,māmā,māmā,buā,mausī,mausī,cācā,cācā,tāū,bāp,buā,mausī,buā,mātā,mātā,mausī,tāū,buā,buā
692,0.4730753199429276,1.840499246879837,1.3674239269369093,caceri bahan,cacera bhai,mameri bahan,mamera bhai,mameri bahan,phuphera bhai,phupheri bahan,phupheri bahan,dīdī,phupheri bahan,phuphera bhai,mameri bahan,cacera bhai,mɔseri bahan,choṭī bhan,mamera bhai,caceri bahan,caceri bahan,phuphera bhai,mamera bhai,mameri bahan,caceri bahan,bahan,choṭī bhan,baṛa bhai,mɔseri bahan,mɔseri bahan,baṛa bhai,mɔsera bhai,mɔsera bhai,mɔsera bhai,mɔseri bahan,phupheri bahan,phuphera bhai,caceri bahan,mɔseri bahan,cacera bhai,caceri bahan,mɔsera bhai,phupheri bahan,cacera bhai,mameri bahan,bhāī,mamera bhai,phuphera bhai,mɔseri bahan,phupheri bahan,cacera bhai,mamera bhai,mɔseri bahan,phuphera bhai,mɔsera bhai,mameri bahan,cacera bhai,phupheri bahan,mɔseri bahan,choṭā bhāī,caceri bahan,mamera bhai,cacera bhai,mameri bahan,caceri bahan,mɔsera bhai,mamera bhai,mamera bhai,mɔsera bhai,mɔseri bahan,cacera bhai,phuphera bhai,phuphera bhai,dīdī,phupheri bahan,bhāī,mamera bhai,bahan,mɔsera bhai,mameri bahan,phupheri bahan,phuphera bhai,mameri bahan,mameri bahan,mɔsera bhai,mɔseri bahan,cacera bhai,phuphera bhai,choṭā bhāī,cacera bhai,phupheri bahan,mamera bhai,caceri bahan,cācā,māmā,cācā,tāū,mausī,buā,bāp,mātā,māmā,mausī,buā,buā,tāū,māmā,mausī,māmā,tāū,māmā,mausī,buā,mausī,tāū,buā,bāp,mausī,mātā,buā,māmā
693,0.49647198179125995,1.8232730136336885,1.3268010318424286,mɔseri bahan,cacera bhai,phuphera bhai,phupheri bahan,bhāī,mɔsera bhai,mɔsera bhai,phupheri bahan,mɔseri bahan,caceri bahan,choṭā bhāī,phuphera bhai,mɔsera bhai,mamera bhai,baṛa bhai,mameri bahan,phupheri bahan,phupheri bahan,choṭī bhan,mɔseri bahan,mɔsera bhai,cacera bhai,caceri bahan,caceri bahan,dīdī,mameri bahan,phuphera bhai,phupheri bahan,caceri bahan,cacera bhai,mamera bhai,mamera bhai,mɔseri bahan,caceri bahan,mameri bahan,mamera bhai,cacera bhai,mɔseri bahan,mamera bhai,mamera bhai,cacera bhai,caceri bahan,dīdī,phupheri bahan,phuphera bhai,mameri bahan,mɔseri bahan,baṛa bhai,choṭī bhan,phuphera bhai,mameri bahan,phupheri bahan,cacera bhai,bahan,caceri bahan,mɔsera bhai,phuphera bhai,mɔsera bhai,cacera bhai,caceri bahan,phuphera bhai,bahan,mɔseri bahan,mameri bahan,mamera bhai,phuphera bhai,phupheri bahan,mɔseri bahan,mɔseri bahan,bhāī,mameri bahan,mameri bahan,mamera bhai,mɔsera bhai,cacera bhai,mɔsera bhai,mameri bahan,mameri bahan,mamera bhai,cacera bhai,phuphera bhai,mɔseri bahan,phupheri bahan,mɔsera bhai,mamera bhai,phuphera bhai,choṭā bhāī,phupheri bahan,caceri bahan,cacera bhai,bāp,bāp,buā,mausī,mātā,tāū,tāū,cācā,māmā,māmā,buā,cācā,māmā,māmā,buā,mausī,mausī,buā,mausī,mausī,tāū,māmā,mausī,māmā,tāū,buā,mātā,buā
694,0.3947420410848004,1.836737610231185,1.4419955691463846,choṭā bhāī,caceri bahan,choṭā bhāī,caceri bahan,phuphera bhai,phupheri bahan,mɔseri bahan,caceri bahan,phuphera bhai,mɔsera bhai,mɔseri bahan,mameri bahan,mameri bahan,caceri bahan,bhāī,mameri bahan,mameri bahan,mɔsera bhai,mɔseri bahan,mɔsera bhai,phuphera bhai,mamera bhai,cacera bhai,phuphera bhai,mɔseri bahan,phuphera bhai,caceri bahan,phuphera bhai,cacera bhai,phuphera bhai,phupheri bahan,mameri bahan,mamera bhai,dīdī,phuphera bhai,baṛa bhai,mɔsera bhai,mɔseri bahan,cacera bhai,mamera bhai,bahan,mɔseri bahan,mameri bahan,baṛa bhai,phupheri bahan,mameri bahan,phupheri bahan,phuphera bhai,phupheri bahan,cacera bhai,cacera bhai,caceri bahan,phupheri bahan,mɔseri bahan,cacera bhai,cacera bhai,mamera bhai,choṭī bhan,dīdī,cacera bhai,mɔsera bhai,mameri bahan,phupheri bahan,mamera bhai,phupheri bahan,mɔsera bhai,mɔsera bhai,mameri bahan,mamera bhai,mɔseri bahan,cacera bhai,phupheri bahan,mamera bhai,phuphera bhai,caceri bahan,mɔsera bhai,caceri bahan,mamera bhai,mɔsera bhai,phupheri bahan,caceri bahan,mamera bhai,bhāī,mamera bhai,bahan,cacera bhai,mɔseri bahan,choṭī bhan,mameri bahan,mɔseri bahan,buā,mausī,māmā,mausī,tāū,buā,buā,māmā,cācā,mātā,bāp,cācā,māmā,tāū,mātā,tāū,mausī,mausī,māmā,buā,māmā,tāū,buā,bāp,mausī,māmā,mausī,buā
695,0.46470554934656016,1.7741968829166495,1.3094913335700893,mɔseri bahan,phuphera bhai,phupheri bahan,mɔsera bhai,mamera bhai,caceri bahan,mamera bhai,mɔsera bhai,mamera bhai,cacera bhai,mɔsera bhai,cacera bhai,mɔseri bahan,mameri bahan,cacera bhai,mɔseri bahan,phupheri bahan,bahan,choṭī bhan,mameri bahan,caceri bahan,phuphera bhai,phuphera bhai,mameri bahan,mameri bahan,mameri bahan,phuphera bhai,mɔsera bhai,mɔsera bhai,mɔseri bahan,mɔsera bhai,bhāī,mɔsera bhai,mɔseri bahan,mɔseri bahan,caceri bahan,caceri bahan,phuphera bhai,mameri bahan,phupheri bahan,mɔsera bhai,phuphera bhai,cacera bhai,cacera bhai,phupheri bahan,phupheri bahan,baṛa bhai,baṛa bhai,cacera bhai,caceri bahan,mɔseri bahan,phuphera bhai,choṭā bhāī,mameri bahan,phupheri bahan,phupheri bahan,mamera bhai,cacera bhai,mɔseri bahan,caceri bahan,mamera bhai,caceri bahan,mamera bhai,mameri bahan,dīdī,caceri bahan,phupheri bahan,mɔseri bahan,mɔseri bahan,cacera bhai,mamera bhai,mameri bahan,caceri bahan,dīdī,mamera bhai,phuphera bhai,cacera bhai,mɔsera bhai,phuphera bhai,bahan,mamera bhai,mamera bhai,bhāī,phupheri bahan,mameri bahan,phuphera bhai,cacera bhai,choṭī bhan,choṭā bhāī,phupheri bahan,māmā,buā,māmā,buā,māmā,mausī,mātā,bāp,buā,mausī,māmā,māmā,mausī,cācā,mātā,tāū,bāp,tāū,buā,buā,mausī,tāū,māmā,mausī,mausī,buā,tāū,cācā
696,0.4884578143501608,1.824183213092837,1.3357253987426763,phupheri bahan,mameri bahan,cacera bhai,mɔsera bhai,mɔsera bhai,mamera bhai,phuphera bhai,mɔseri bahan,mɔseri bahan,phupheri bahan,cacera bhai,bhāī,mameri bahan,caceri bahan,mameri bahan,mɔsera bhai,choṭī bhan,caceri bahan,bahan,choṭī bhan,caceri bahan,caceri bahan,baṛa bhai,mamera bhai,phupheri bahan,mamera bhai,mɔseri bahan,phuphera bhai,mɔsera bhai,phupheri bahan,mɔseri bahan,mamera bhai,caceri bahan,phuphera bhai,phuphera bhai,baṛa bhai,phupheri bahan,mɔsera bhai,mamera bhai,caceri bahan,phuphera bhai,bhāī,cacera bhai,mamera bhai,phupheri bahan,mɔsera bhai,mamera bhai,dīdī,caceri bahan,phuphera bhai,mɔseri bahan,cacera bhai,cacera bhai,mɔsera bhai,choṭā bhāī,mɔseri bahan,phuphera bhai,mameri bahan,phuphera bhai,mɔsera bhai,mamera bhai,mamera bhai,phuphera bhai,cacera bhai,mɔseri bahan,mameri bahan,caceri bahan,mɔseri bahan,phupheri bahan,mameri bahan,cacera bhai,dīdī,mamera bhai,mɔseri bahan,mɔseri bahan,phupheri bahan,phupheri bahan,caceri bahan,cacera bhai,phuphera bhai,mameri bahan,cacera bhai,cacera bhai,phupheri bahan,choṭā bhāī,bahan,mameri bahan,mameri bahan,mameri bahan,mɔsera bhai,mātā,buā,buā,tāū,bāp,mausī,māmā,māmā,buā,buā,tāū,mausī,mausī,bāp,mausī,māmā,māmā,māmā,buā,mausī,cācā,mausī,cācā,māmā,tāū,mātā,tāū,buā
697,0.5747104386447486,1.8121760023234754,1.2374655636787268,mɔseri bahan,mameri bahan,cacera bhai,cacera bhai,dīdī,phuphera bhai,cacera bhai,phuphera bhai,choṭā bhāī,caceri bahan,mɔseri bahan,mɔseri bahan,mɔseri bahan,baṛa bhai,mameri bahan,baṛa bhai,phuphera bhai,phuphera bhai,choṭī bhan,caceri bahan,cacera bhai,caceri bahan,phupheri bahan,mɔsera bhai,mamera bhai,mɔsera bhai,mamera bhai,mɔsera bhai,cacera bhai,cacera bhai,mɔseri bahan,phupheri bahan,mameri bahan,mameri bahan,phupheri bahan,dīdī,caceri bahan,mamera bhai,bahan,mamera bhai,phupheri bahan,mameri bahan,caceri bahan,mɔseri bahan,bhāī,mɔseri bahan,mɔsera bhai,mɔseri bahan,mɔsera bhai,mɔsera bhai,mamera bhai,bahan,phuphera bhai,caceri bahan,phuphera bhai,choṭā bhāī,mamera bhai,phupheri bahan,phupheri bahan,caceri bahan,choṭī bhan,phuphera bhai,mameri bahan,mameri bahan,phuphera bhai,mamera bhai,mameri bahan,phupheri bahan,mamera bhai,mameri bahan,phupheri bahan,cacera bhai,bhāī,mɔseri bahan,caceri bahan,cacera bhai,caceri bahan,mɔsera bhai,phupheri bahan,mamera bhai,mamera bhai,cacera bhai,cacera bhai,phuphera bhai,phuphera bhai,mɔsera bhai,phupheri bahan,mɔseri bahan,mameri bahan,mɔsera bhai,māmā,māmā,buā,māmā,mausī,mausī,tāū,buā,bāp,buā,buā,tāū,tāū,cācā,mausī,buā,māmā,mausī,mausī,mausī,māmā,tāū,bāp,mātā,māmā,buā,mātā,cācā
698,0.5280935515583443,1.8195562537090062,1.291462702150662,phupheri bahan,phupheri bahan,mamera bhai,bhāī,phuphera bhai,caceri bahan,caceri bahan,mɔseri bahan,mɔsera bhai,mamera bhai,choṭā bhāī,caceri bahan,dīdī,mɔseri bahan,baṛa bhai,cacera bhai,mamera bhai,caceri bahan,mɔseri bahan,phuphera bhai,mɔsera bhai,mamera bhai,mɔsera bhai,phuphera bhai,caceri bahan,caceri bahan,mameri bahan,baṛa bhai,phuphera bhai,phupheri bahan,mamera bhai,mameri bahan,choṭā bhāī,mɔsera bhai,mɔsera bhai,cacera bhai,phupheri bahan,caceri bahan,mɔseri bahan,cacera bhai,phuphera bhai,phupheri bahan,mameri bahan,phuphera bhai,cacera bhai,bhāī,phupheri bahan,mɔseri bahan,mamera bhai,bahan,cacera bhai,phuphera bhai,mamera bhai,choṭī bhan,mameri bahan,dīdī,caceri bahan,bahan,mɔsera bhai,cacera bhai,mɔsera bhai,mɔseri bahan,cacera bhai,mɔseri bahan,phuphera bhai,cacera bhai,mɔsera bhai,mameri bahan,phuphera bhai,mamera bhai,phupheri bahan,phuphera bhai,phupheri bahan,mameri bahan,phupheri bahan,mameri bahan,mamera bhai,mɔseri bahan,mɔsera bhai,cacera bhai,choṭī bhan,mameri bahan,mɔseri bahan,mameri bahan,caceri bahan,mamera bhai,phupheri bahan,mameri bahan,mɔseri bahan,cacera bhai,bāp,māmā,māmā,tāū,māmā,tāū,buā,mausī,māmā,buā,mātā,buā,buā,cācā,mausī,māmā,mausī,mausī,tāū,mātā,tāū,mausī,buā,mausī,māmā,buā,bāp,cācā
699,0.5149885385256816,1.8688147217257238,1.3538261832000422,phupheri bahan,caceri bahan,bhāī,mamera bhai,cacera bhai,phuphera bhai,phuphera bhai,mamera bhai,mɔseri bahan,phuphera bhai,phuphera bhai,mɔseri bahan,cacera bhai,phuphera bhai,mamera bhai,phupheri bahan,phuphera bhai,mɔseri bahan,mameri bahan,mamera bhai,cacera bhai,phupheri bahan,bahan,caceri bahan,phuphera bhai,phuphera bhai,mamera bhai,caceri bahan,dīdī,cacera bhai,mamera bhai,choṭā bhāī,mɔsera bhai,mameri bahan,phupheri bahan,mɔsera bhai,mamera bhai,mɔsera bhai,dīdī,mɔsera bhai,phupheri bahan,mɔsera bhai,choṭī bhan,mamera bhai,phupheri bahan,mɔseri bahan,mamera bhai,mameri bahan,mameri bahan,mameri bahan,mɔsera bhai,mameri bahan,mameri bahan,cacera bhai,bhāī,caceri bahan,caceri bahan,cacera bhai,mɔsera bhai,choṭā bhāī,bahan,caceri bahan,phupheri bahan,mɔsera bhai,phuphera bhai,mɔseri bahan,mɔseri bahan,phupheri bahan,mɔseri bahan,mamera bhai,mameri bahan,caceri bahan,phuphera bhai,phupheri bahan,cacera bhai,cacera bhai,cacera bhai,phupheri bahan,mɔseri bahan,caceri bahan,cacera bhai,baṛa bhai,mameri bahan,caceri bahan,mɔsera bhai,mɔseri bahan,baṛa bhai,choṭī bhan,mameri bahan,mɔseri bahan,māmā,bāp,buā,mātā,buā,māmā,tāū,buā,mausī,cācā,māmā,cācā,buā,mausī,buā,mausī,tāū,mausī,māmā,māmā,tāū,mātā,tāū,buā,māmā,mausī,bāp,mausī
700,0.5374299228766235,1.7951593859667125,1.257729463090089,mamera bhai,phupheri bahan,mameri bahan,mɔseri bahan,mamera bhai,mɔsera bhai,mɔseri bahan,phupheri bahan,phupheri bahan,phuphera bhai,mɔsera bhai,mamera bhai,mamera bhai,mamera bhai,caceri bahan,phupheri bahan,mɔseri bahan,dīdī,caceri bahan,mɔseri bahan,phuphera bhai,phupheri bahan,dīdī,phuphera bhai,phuphera bhai,mamera bhai,baṛa bhai,mɔseri bahan,mɔsera bhai,choṭā bhāī,mɔseri bahan,mameri bahan,cacera bhai,mameri bahan,mɔseri bahan,mɔseri bahan,mɔsera bhai,cacera bhai,cacera bhai,caceri bahan,mameri bahan,mɔsera bhai,mamera bhai,phuphera bhai,mɔseri bahan,choṭī bhan,caceri bahan,cacera bhai,mɔseri bahan,cacera bhai,mameri bahan,mameri bahan,choṭī bhan,mɔsera bhai,mɔsera bhai,caceri bahan,mamera bhai,cacera bhai,mamera bhai,phupheri bahan,choṭā bhāī,cacera bhai,phuphera bhai,cacera bhai,phuphera bhai,cacera bhai,cacera bhai,phuphera bhai,mɔsera bhai,caceri bahan,bahan,baṛa bhai,phupheri bahan,phupheri bahan,caceri bahan,phuphera bhai,mameri bahan,bahan,phupheri bahan,caceri bahan,bhāī,phuphera bhai,mameri bahan,mamera bhai,mameri bahan,mameri bahan,caceri bahan,bhāī,phupheri bahan,mɔsera bhai,mausī,mātā,mausī,mausī,buā,mausī,tāū,cācā,māmā,buā,bāp,tāū,bāp,mātā,mausī,tāū,māmā,mausī,māmā,buā,buā,tāū,buā,buā,māmā,māmā,māmā,cācā
701,0.4823481811117716,1.8422340971429478,1.3598859160311763,baṛa bhai,mɔsera bhai,phuphera bhai,mameri bahan,dīdī,mamera bhai,phuphera bhai,mɔseri bahan,phupheri bahan,mameri bahan,mɔsera bhai,mamera bhai,cacera bhai,caceri bahan,mameri bahan,mamera bhai,mɔsera bhai,caceri bahan,phuphera bhai,mamera bhai,phuphera bhai,cacera bhai,phupheri bahan,phuphera bhai,phuphera bhai,mamera bhai,caceri bahan,phupheri bahan,mameri bahan,choṭā bhāī,cacera bhai,mɔseri bahan,bahan,phuphera bhai,mɔseri bahan,mamera bhai,mɔsera bhai,cacera bhai,phuphera bhai,phuphera bhai,mameri bahan,mɔsera bhai,bahan,baṛa bhai,mameri bahan,mɔsera bhai,caceri bahan,mamera bhai,mamera bhai,cacera bhai,bhāī,mɔseri bahan,mɔseri bahan,phupheri bahan,caceri bahan,mamera bhai,phupheri bahan,mameri bahan,mameri bahan,dīdī,caceri bahan,choṭā bhāī,mameri bahan,phupheri bahan,phupheri bahan,phuphera bhai,bhāī,cacera bhai,cacera bhai,mɔseri bahan,mameri bahan,mɔsera bhai,mɔseri bahan,choṭī bhan,cacera bhai,mɔseri bahan,mɔseri bahan,caceri bahan,caceri bahan,caceri bahan,cacera bhai,mɔsera bhai,choṭī bhan,cacera bhai,phupheri bahan,phupheri bahan,mɔsera bhai,phupheri bahan,mamera bhai,mɔseri bahan,buā,māmā,mātā,bāp,buā,tāū,māmā,mausī,māmā,mausī,mausī,buā,buā,tāū,buā,mausī,mausī,tāū,mausī,buā,cācā,tāū,mātā,māmā,māmā,māmā,bāp,cācā
702,0.41387872765555245,1.8418831263227795,1.428004398667227,phupheri bahan,phupheri bahan,mɔsera bhai,bhāī,phupheri bahan,phuphera bhai,mɔsera bhai,dīdī,mɔseri bahan,mameri bahan,bahan,baṛa bhai,cacera bhai,cacera bhai,mameri bahan,mameri bahan,mamera bhai,dīdī,phuphera bhai,mɔseri bahan,phuphera bhai,cacera bhai,mamera bhai,mameri bahan,choṭā bhāī,mamera bhai,mamera bhai,caceri bahan,phuphera bhai,mameri bahan,mɔseri bahan,choṭī bhan,mɔseri bahan,mamera bhai,mameri bahan,mɔseri bahan,bhāī,caceri bahan,phupheri bahan,phupheri bahan,phupheri bahan,mɔseri bahan,mɔsera bhai,mɔseri bahan,baṛa bhai,phuphera bhai,phuphera bhai,mɔsera bhai,mamera bhai,mamera bhai,phuphera bhai,choṭī bhan,cacera bhai,choṭā bhāī,phuphera bhai,caceri bahan,mɔsera bhai,cacera bhai,phupheri bahan,caceri bahan,caceri bahan,mamera bhai,mameri bahan,mɔsera bhai,caceri bahan,cacera bhai,phuphera bhai,caceri bahan,cacera bhai,phupheri bahan,mɔseri bahan,cacera bhai,mɔsera bhai,mamera bhai,bahan,phuphera bhai,cacera bhai,phupheri bahan,caceri bahan,mɔseri bahan,cacera bhai,mameri bahan,mɔsera bhai,mamera bhai,mɔseri bahan,caceri bahan,mameri bahan,phupheri bahan,mameri bahan,mɔsera bhai,mātā,buā,tāū,mausī,māmā,māmā,māmā,buā,māmā,buā,buā,māmā,buā,mausī,mausī,mausī,mausī,bāp,tāū,māmā,tāū,cācā,bāp,buā,cācā,mātā,tāū,mausī
703,0.4177577708687039,1.789750901425276,1.371993130556572,mameri bahan,cacera bhai,phuphera bhai,mamera bhai,mameri bahan,phupheri bahan,cacera bhai,mameri bahan,mɔsera bhai,mɔsera bhai,mɔseri bahan,mɔseri bahan,phuphera bhai,mamera bhai,mameri bahan,caceri bahan,phupheri bahan,cacera bhai,mamera bhai,mameri bahan,phuphera bhai,mamera bhai,choṭā bhāī,mameri bahan,cacera bhai,mɔseri bahan,caceri bahan,mamera bhai,phupheri bahan,mɔsera bhai,baṛa bhai,caceri bahan,phuphera bhai,caceri bahan,phuphera bhai,mameri bahan,mɔsera bhai,phupheri bahan,mɔsera bhai,mɔsera bhai,phupheri bahan,mamera bhai,mɔseri bahan,phuphera bhai,mɔsera bhai,mɔseri bahan,mɔseri bahan,bhāī,choṭī bhan,caceri bahan,choṭī bhan,mamera bhai,mɔseri bahan,phupheri bahan,mameri bahan,mamera bhai,cacera bhai,mameri bahan,bahan,phupheri bahan,baṛa bhai,phuphera bhai,phuphera bhai,mameri bahan,phupheri bahan,cacera bhai,mɔsera bhai,mamera bhai,caceri bahan,choṭā bhāī,phuphera bhai,bhāī,dīdī,dīdī,cacera bhai,phupheri bahan,caceri bahan,cacera bhai,mɔseri bahan,cacera bhai,phupheri bahan,mɔsera bhai,phuphera bhai,caceri bahan,mɔseri bahan,mamera bhai,caceri bahan,mɔseri bahan,bahan,cacera bhai,mausī,māmā,bāp,tāū,mātā,bāp,mausī,māmā,buā,cācā,tāū,buā,mātā,māmā,māmā,buā,mausī,māmā,mausī,māmā,tāū,cācā,tāū,buā,buā,mausī,mausī,buā
704,0.40126532720649344,1.8084030747764592,1.4071377475699658,cacera bhai,mɔseri bahan,mɔsera bhai,dīdī,mameri bahan,mɔseri bahan,mameri bahan,phuphera bhai,mamera bhai,mɔsera bhai,phuphera bhai,cacera bhai,caceri bahan,mɔseri bahan,phuphera bhai,cacera bhai,mɔseri bahan,caceri bahan,caceri bahan,bahan,phuphera bhai,phuphera bhai,caceri bahan,mamera bhai,phupheri bahan,mamera bhai,caceri bahan,bahan,cacera bhai,mameri bahan,phuphera bhai,baṛa bhai,cacera bhai,phupheri bahan,phupheri bahan,mɔsera bhai,mɔsera bhai,mameri bahan,cacera bhai,mameri bahan,mɔseri bahan,mɔsera bhai,mamera bhai,baṛa bhai,mamera bhai,mɔsera bhai,mameri bahan,phupheri bahan,mɔsera bhai,caceri bahan,mameri bahan,phuphera bhai,mameri bahan,phupheri bahan,mamera bhai,mamera bhai,bhāī,phupheri bahan,cacera bhai,mɔseri bahan,choṭā bhāī,mɔseri bahan,phupheri bahan,caceri bahan,phupheri bahan,mamera bhai,bhāī,mɔsera bhai,phupheri bahan,caceri bahan,cacera bhai,mameri bahan,phuphera bhai,cacera bhai,mameri bahan,choṭā bhāī,mɔseri bahan,mɔseri bahan,phupheri bahan,phuphera bhai,mamera bhai,choṭī bhan,mamera bhai,mɔsera bhai,caceri bahan,phuphera bhai,cacera bhai,mɔseri bahan,dīdī,choṭī bhan,buā,mausī,mausī,tāū,māmā,māmā,tāū,tāū,tāū,mausī,buā,buā,mausī,cācā,māmā,māmā,mātā,buā,mausī,bāp,māmā,mausī,māmā,mātā,cācā,bāp,buā,buā
705,0.41743184574431313,1.8521465228915512,1.434714677147238,mɔseri bahan,caceri bahan,mɔseri bahan,mamera bhai,phuphera bhai,mamera bhai,caceri bahan,phuphera bhai,mamera bhai,phupheri bahan,choṭī bhan,caceri bahan,phuphera bhai,mameri bahan,choṭī bhan,mamera bhai,mamera bhai,choṭā bhāī,mɔsera bhai,phupheri bahan,mameri bahan,mamera bhai,mɔseri bahan,phupheri bahan,cacera bhai,cacera bhai,mameri bahan,mɔseri bahan,mɔseri bahan,caceri bahan,mameri bahan,mɔsera bhai,phuphera bhai,phupheri bahan,caceri bahan,cacera bhai,baṛa bhai,cacera bhai,caceri bahan,mameri bahan,mɔsera bhai,phuphera bhai,mamera bhai,mɔseri bahan,mɔsera bhai,mɔsera bhai,phuphera bhai,mɔseri bahan,caceri bahan,phupheri bahan,baṛa bhai,phuphera bhai,bhāī,bhāī,phupheri bahan,mɔsera bhai,cacera bhai,phuphera bhai,mameri bahan,phupheri bahan,mɔsera bhai,bahan,phupheri bahan,mɔseri bahan,dīdī,cacera bhai,mɔseri bahan,mɔsera bhai,bahan,mameri bahan,cacera bhai,phuphera bhai,mameri bahan,phupheri bahan,phuphera bhai,phupheri bahan,mamera bhai,mamera bhai,dīdī,mamera bhai,caceri bahan,mameri bahan,cacera bhai,cacera bhai,mameri bahan,mɔseri bahan,cacera bhai,mɔsera bhai,caceri bahan,choṭā bhāī,bāp,mausī,cācā,buā,mausī,buā,tāū,māmā,mātā,tāū,buā,mausī,māmā,buā,buā,māmā,cācā,māmā,mausī,mausī,māmā,mausī,buā,tāū,māmā,bāp,mātā,tāū
706,0.4944370710529513,1.8086973391910741,1.3142602681381228,choṭā bhāī,phuphera bhai,phupheri bahan,cacera bhai,mɔseri bahan,mamera bhai,phuphera bhai,phuphera bhai,phuphera bhai,cacera bhai,choṭā bhāī,mɔsera bhai,mamera bhai,mɔseri bahan,mɔsera bhai,mamera bhai,cacera bhai,phuphera bhai,cacera bhai,mameri bahan,mɔseri bahan,caceri bahan,cacera bhai,choṭī bhan,mɔsera bhai,phupheri bahan,mɔsera bhai,mɔseri bahan,cacera bhai,choṭī bhan,caceri bahan,mamera bhai,baṛa bhai,caceri bahan,mameri bahan,mameri bahan,mɔseri bahan,caceri bahan,phupheri bahan,caceri bahan,mɔsera bhai,phuphera bhai,mɔsera bhai,phuphera bhai,phupheri bahan,phupheri bahan,phuphera bhai,mamera bhai,phupheri bahan,mameri bahan,mamera bhai,mameri bahan,bahan,caceri bahan,dīdī,mameri bahan,mɔseri bahan,mɔsera bhai,mɔseri bahan,bhāī,phupheri bahan,mameri bahan,caceri bahan,cacera bhai,cacera bhai,cacera bhai,dīdī,mɔseri bahan,mɔseri bahan,mameri bahan,bhāī,mamera bhai,phupheri bahan,mɔsera bhai,mameri bahan,mamera bhai,caceri bahan,caceri bahan,phuphera bhai,mameri bahan,mamera bhai,cacera bhai,mɔseri bahan,phupheri bahan,phuphera bhai,mamera bhai,bahan,mɔsera bhai,phupheri bahan,baṛa bhai,buā,mausī,mausī,māmā,cācā,māmā,mausī,mātā,bāp,tāū,tāū,buā,māmā,cācā,mausī,mausī,mausī,tāū,buā,mātā,māmā,buā,māmā,bāp,māmā,tāū,buā,buā
